Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Warm Male,-0.019296891,0.008394009,0.980888102,0.964882305,0.997159,-0.11596146,0.09792388,0.98847083,0.969679934,1.007626,-0.001919715,0.000973563,0.975727091,0.952183891,0.999852,-0.002415253,0.00118296,0.984423445,0.969698525,0.999372
Cold All,-0.021413593,0.008120963,0.97881405,0.963357519,0.994519,-0.12849645,0.05599991,0.987232559,0.976455962,0.998128,0.004811012,0.000992908,1.063516589,1.037351549,1.090342,-0.001716296,0.000905806,0.988906073,0.977559722,1.000384
Cold Female,-0.02435511,0.01008839,0.975939082,0.956831136,0.995429,-0.11218116,0.06967903,0.988844572,0.975431633,1.002442,0.005040802,0.001234046,1.066649328,1.034132095,1.100189,-0.002122404,0.001124889,0.986299098,0.972265161,1.000536
Cold Male,-0.01846983,0.01027162,0.981699692,0.962133365,1.001664,-0.14486812,0.07067341,0.985617617,0.972058977,0.999365,0.004578683,0.001260486,1.060358589,1.027351437,1.094426,-0.001311364,0.001145095,0.991512359,0.977152669,1.006083
Age 0-10 All,-0.000343467,0.008947822,0.999656592,0.982277722,1.017343,0.01141761,0.07359283,1.001142413,0.986805389,1.015688,0.003392203,0.001067609,1.044376648,1.016775173,1.072727,-0.000246597,0.001109945,0.998398403,0.984379703,1.012617
Age 0-10 Female,-0.003591292,0.01237022,0.996415149,0.972546954,1.020869,0.025741,0.1009047,1.002577416,0.982943909,1.022603,0.002975166,0.001475761,1.038816542,1.001058793,1.077998,-0.000832219,0.001533089,0.994605181,0.975367479,1.014222
Age 0-10 Male,0.002130927,0.010946798,1.002133199,0.98086073,1.023867,-1.06E-05,0.09059603,0.99999894,0.98239886,1.017914,0.003712045,0.001307776,1.048661067,1.014813338,1.083638,0.000198634,0.001358817,1.001291955,0.984107433,1.018777
Age 11-60 All,-0.03136411,0.006193273,0.969122642,0.957429754,0.980958,-0.17945878,0.0549928,0.98221419,0.971684159,0.992858,-0.000700056,0.000731888,0.991079311,0.973047555,1.009445,-0.002971174,0.000781687,0.980872663,0.971152932,0.99069
Age 11-60 Female,-0.03201789,0.008108268,0.968489256,0.953219482,0.984004,-0.15181601,0.07176636,0.984933059,0.97117577,0.998885,-0.00019781,0.000954118,0.997471235,0.97387835,1.021636,-0.003248724,0.001023946,0.979104691,0.966415147,0.991961
Age 11-60 Male,-0.031001272,0.008354476,0.96947434,0.953728685,0.98548,-0.210621557,0.074268096,0.979158102,0.965008179,0.993516,-0.001255841,0.000987909,0.984053745,0.959964067,1.008748,-0.002735088,0.001052333,0.982379026,0.969296436,0.995638
Age 60+All,-0.02063589,0.01115972,0.979575573,0.958381896,1.001238,-0.08094601,0.10079418,0.991938072,0.972533983,1.011729,-0.001328802,0.001326988,0.983135165,0.950943965,1.016416,-0.001180957,0.001402535,0.992353166,0.974778984,1.010244
Age 60+ Female,-0.01895178,0.0144278,0.981226676,0.953867727,1.00937,0.02911914,0.13003644,1.002916158,0.977677685,1.028806,-0.002178519,0.001715966,0.972500156,0.931522254,1.015281,-0.000323058,0.001803816,0.997902326,0.97523141,1.0211
Age 60+ Male,-0.02300375,0.01690955,0.977258819,0.945400655,1.010191,-0.2340177,0.1531148,0.976869928,0.947989104,1.006631,-0.000161105,0.002009093,0.997939981,0.948886327,1.04953,-0.002404477,0.002139651,0.9844924,0.958018439,1.011698
All: LAG2,-0.007033806,0.005070697,0.992990873,0.983170847,1.002909,-0.03432491,0.04366032,0.996573393,0.988081679,1.005138,0.000633764,0.000601594,1.008145172,0.993043697,1.023476,-0.000761602,0.000634525,0.99506182,0.987050317,1.003138
Female,-0.007660741,0.006484962,0.992368528,0.979834826,1.005063,-0.004229395,0.055830553,0.99957715,0.988698618,1.010575,-9.81E-07,0.000768354,0.999987443,0.980895821,1.019451,-0.000437606,0.000811203,0.997159603,0.9869073,1.007518
Male,-0.006419578,0.006520017,0.993600983,0.980984312,1.00638,-0.06467109,0.05613097,0.993553758,0.982682915,1.004545,0.001267908,0.000774361,1.016361632,0.996807162,1.0363,-0.001087326,0.000816099,0.992957298,0.982686904,1.003335
Warm All,-0.008489259,0.006359354,0.991546673,0.979264408,1.003983,0.01056222,0.07251901,1.00105678,0.986928678,1.015387,-0.001316267,0.000743885,0.98329292,0.965112307,1.001816,-0.000978176,0.000892195,0.993662026,0.98243145,1.005021
Warm Female,-0.010892201,0.008411249,0.989166904,0.972993138,1.00561,-0.007484425,0.096279331,0.999251838,0.980572012,1.018288,-0.001976551,0.000982471,0.975017506,0.951278809,0.999349,-0.00078227,0.001180281,0.99492815,0.980079552,1.010002
Warm Male,-0.006130526,0.00836076,0.993888227,0.977734014,1.010309,0.02764519,0.09496179,1.002768344,0.984276927,1.021607,-0.000668553,0.000979424,0.991479033,0.967413496,1.016143,-0.001172793,0.001172572,0.992405828,0.977690891,1.007342
Cold All,-0.004518501,0.00819821,0.995491692,0.979623473,1.011617,-0.06233974,0.05626334,0.993785417,0.982886539,1.004805,0.003536033,0.000992241,1.046301142,1.020576721,1.072674,-0.000716357,0.00091292,0.995354503,0.983844993,1.006999
Cold Female,0.000196419,0.010144963,1.000196438,0.980504829,1.020284,-0.01291065,0.06952984,0.998709768,0.985191822,1.012413,0.00318156,0.001228398,1.041564561,1.009955145,1.074163,-0.000159458,0.001129343,0.99896406,0.984694039,1.013441
Cold Male,-0.009193503,0.010362406,0.990848628,0.97092717,1.011179,-0.11228496,0.07121486,0.988834308,0.975127928,1.002733,0.003907596,0.00125786,1.051289209,1.018631477,1.084994,-0.00127603,0.001154412,0.991740107,0.977261112,1.006434
Age 0-10 All,0.011696393,0.008952929,1.011765063,0.994165738,1.029676,0.0620946,0.07332067,1.006228779,0.991871822,1.020794,0.002894853,0.001070469,1.037749181,1.010250371,1.065997,0.000676761,0.001108015,1.004408636,0.990329894,1.018688
Age 0-10 Female,0.002622752,0.012419822,1.002626194,0.978514084,1.027332,-0.00525691,0.10124306,0.999474447,0.979836723,1.019506,0.002860762,0.001482605,1.037296442,0.999422326,1.076606,4.25E-05,0.00153902,1.000276288,0.980854778,1.020082
Age 0-10 Male,0.01856688,0.01092212,1.018740316,0.997163555,1.040784,0.112941,0.0897624,1.011358119,0.993720469,1.029309,0.002936369,0.001308641,1.038300792,1.004765658,1.072955,0.001148624,0.001350523,1.007493996,0.990307669,1.024979
